Command,Finished,Error,Burst Time,Turnaround Time,Waiting Time,Response Time
ls,Yes,No,1,1,0,0
./b.out,Yes,No,9396,9396,0,0
ls,Yes,No,1,1,0,0
./b.out,Yes,No,9459,9461,2,0
