Command,Finished,Error,Burst Time,Turnaround Time,Waiting Time,Response Time
fsdgs,No,Yes,1,106,105,105
ls gewgwe,No,Yes,3,212,209,209
cd ../,Yes,No,6,422,416,416
 ,Yes,No,11,433,422,422
pwd,Yes,No,2,435,433,433
echo Round Completed,Yes,No,2,437,435,435
./e.out,Yes,No,287,1626,1339,212
./d.out,Yes,No,1894,7543,5649,315
./c.out,Yes,No,3786,11117,7331,106
./b.out,Yes,No,9467,15459,5992,0
